Accession,Protein Name,Length,Organism Scientific Neme
A0A5I0EUU2,Recombinase,235,Salmonella enterica subsp. enterica serovar Kenya
A0A5I4VI52,Recombinase,235,Salmonella virchow
A0A5Q7DSU1,Recombinase,235,Salmonella montevideo
A0A5U3AY33,Recombinase,235,Salmonella enterica
A0A5U8IN36,Recombinase,235,Salmonella newport
A0A5V0IK25,Recombinase,235,Salmonella enterica
A0A5V5DTN9,Recombinase,235,Salmonella enterica
A0A5X2GEJ8,Recombinase,235,Salmonella enterica subsp. enterica serovar Alachua
A0A5X6RZL3,Recombinase,235,Salmonella newport
A0A5Y5USN1,Recombinase,235,Salmonella enterica
A0A5Z7TAQ9,Recombinase,235,Salmonella enterica
A0A607QD54,Recombinase,235,Salmonella enterica subsp. enterica serovar Bredeney
A0A610TWG4,Recombinase,235,Salmonella enterica
A0A620QX19,Recombinase,235,Salmonella montevideo
A0A624AVJ1,Recombinase,235,Salmonella enteritidis
A0A657I7D1,Recombinase,235,Salmonella enterica
A0A6V8UA44,Recombinase,235,Salmonella infantis
A0A6Y3AEI5,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A735J510,Recombinase,235,Salmonella enterica subsp. enterica serovar Panama
A0A759PQ62,Recombinase,235,Salmonella enterica
A0A0Q5JWW1,Single-stranded DNA-binding protein,197,Deinococcus sp. Leaf326
A0A2P4WWX4,Rad52/22 double-strand break repair protein,219,Phytophthora palmivora var. palmivora
A0A399F3K8,Rad52/22 double-strand break repair protein,195,Meiothermus granaticius NBRC 107808
A0A3Y9YQE4,Recombinase,235,Salmonella typhimurium
A0A3Z0MS47,Recombinase,235,Salmonella hadar
A0A4Y6MGT6,Recombinase,235,Salmonella enterica subsp. enterica serovar Indiana
A0A5T3C7W4,Recombinase,235,Salmonella enterica
A0A5T7KRU6,Recombinase,235,Salmonella enteritidis
A0A5U4DDV2,Recombinase,235,Salmonella enterica
A0A5U4MTZ5,Recombinase,235,Salmonella enterica I
A0A5U9KDE5,Recombinase,235,Salmonella infantis
A0A5V8XZD6,Recombinase,235,Salmonella enterica subsp. enterica serovar Kalamu
A0A5W2Q3N2,Recombinase,235,Salmonella enterica subsp. enterica serovar Uganda
A0A5Y4QL16,Recombinase,235,Salmonella enterica
A0A5Z6FH62,Recombinase,235,Salmonella enterica subsp. enterica serovar Uganda
A0A602AUD5,Recombinase,235,Salmonella enterica subsp. enterica serovar Cerro
A0A602F8E5,Recombinase,235,Salmonella enterica subsp. enterica serovar Saintpaul
A0A634WVN3,Recombinase,235,Salmonella typhimurium
A0A721Y506,Recombinase,235,Salmonella enterica
A0A736GWU4,Recombinase,235,Salmonella enterica subsp. enterica serovar Javiana
A0A743XU11,Recombinase,235,Salmonella enterica
A0A764Q9A3,Recombinase,235,Salmonella enterica
A0A7C7TI09,DNA repair protein Rad52,211,Acidimicrobiia bacterium
L7FKX1,DNA repair and recombination protein RAD52,188,Entamoeba invadens IP1
A0A016QJM1,Single-stranded DNA-binding protein,216,Deinococcus phoenicis
A0A0C3LX93,Rad52/22 double-strand break repair protein,183,Tulasnella calospora MUT 4182
A0A1H4Y7R1,Rad52/22 double-strand break repair protein,400,Paenibacillus sp. GP183
A0A221SWC6,Single-stranded DNA-binding protein,199,Deinococcus ficus
A0A371CVR1,Rad52/22 double-strand break repair protein,194,Polyporus brumalis
A0A3Y5DZK4,Recombinase,235,Salmonella enterica I
A0A3Y7BIB2,Recombinase,235,Salmonella enterica I
A0A3Z2NPN1,Recombinase,235,Salmonella enterica I
A0A414PMK8,ExoX-like_C domain-containing protein,211,Fusobacterium mortiferum
A0A4Y8GJ98,Recombinase,235,Escherichia coli
A0A5U3XXY7,Recombinase,235,Salmonella enterica
A0A5U6FEA1,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A5V2X989,Recombinase,235,Salmonella enterica
A0A5W2RMM9,Recombinase,235,Salmonella enterica subsp. enterica serovar Kentucky
A0A5X8Y2L3,Recombinase,235,Salmonella newport
A0A5Y5DTY1,Recombinase,235,Salmonella enterica
A0A5Z8TKV2,Recombinase,235,Salmonella muenchen
A0A633F392,Recombinase,235,Salmonella enterica
A0A735GGX5,Recombinase,235,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-"
A0A741LKX1,Recombinase,235,Salmonella enterica subsp. enterica serovar Java
A0A760LGC6,Recombinase,235,Salmonella enterica
A0A763GG42,Recombinase,235,Salmonella enterica
A0A837YL83,Recombinase,241,Enterobacter roggenkampii
A0A1U7P1Q9,Single-stranded DNA-binding protein,200,Deinococcus marmoris
A0A246BFR8,Single-stranded DNA-binding protein,210,Deinococcus indicus
A0A3V4A9L5,Recombinase,235,Salmonella newport
A0A5U9VIG7,Recombinase,235,Salmonella newport
A0A5V4Z8M9,Recombinase,235,Salmonella enterica
A0A5Y2PBD4,Recombinase,235,Salmonella hadar
A0A602E7N1,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A606F2R2,Recombinase,235,Salmonella enterica subsp. enterica serovar Kentucky
A0A636V6A3,Recombinase,235,Salmonella enterica
A0A6M3NJD9,Recombinase,235,Salmonella typhimurium
A0A751ZZI4,Recombinase,235,Salmonella dublin
A0A753CRJ1,Recombinase,235,"Salmonella enterica subsp. enterica serovar 4,[5],12:b:-"
A0A764D3Q5,Recombinase,235,Salmonella enterica
A0A7Y9CCF6,Recombinase,239,Kalamiella piersonii
X8GW16,ExoX-like_C domain-containing protein,208,Fusobacterium sp. CM22
A0A0V8CZM9,Recombinase,252,Lactococcus lactis subsp. lactis
A0A3P1V2S7,ExoX-like_C domain-containing protein,208,Fusobacterium canifelinum
A0A3W0SC03,Recombinase,235,Salmonella enterica I
A0A3Y3HIY5,Recombinase,235,Salmonella enterica I
A0A5I9B8D2,Recombinase,235,Salmonella enterica subsp. enterica serovar Eko
A0A5W1I155,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A5W2S3G6,Recombinase,235,Salmonella enterica subsp. enterica serovar Corvallis
A0A5W5I0X8,Recombinase,235,Salmonella enterica subsp. enterica serovar Cerro
A0A5X7F2L3,Recombinase,235,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-"
A0A5X9ZMJ0,Recombinase,235,Salmonella enterica subsp. enterica serovar Johannesburg
A0A5Y4WCJ1,Recombinase,235,Salmonella enterica
A0A609W4X4,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A727C0P8,Recombinase,235,Salmonella enterica
A0A728GJQ6,Recombinase,235,Salmonella enterica subsp. enterica serovar Paratyphi B
A0A747EZ52,Recombinase,235,Salmonella enterica
A0A763WQE3,Recombinase,235,Salmonella enterica
A0A0C2ZE09,DNA repair protein Rad52,221,Sulfurovum sp. PC08-66
A0A431HIL4,Rad52/22 double-strand break repair protein,224,Neisseriaceae bacterium
A0A5B1QSN2,DNA repair and recombination protein RAD52,200,Dentipellis sp. KUC8613
A0A5C3P7J6,Rad52/22 double-strand break repair protein,194,Polyporus arcularius HHB13444
A0A5I0JXF6,Recombinase,235,Salmonella enterica subsp. enterica serovar Haifa
A0A5I0UET2,Recombinase,235,Salmonella enterica subsp. enterica serovar Rissen
A0A5T5ETB7,Recombinase,235,Salmonella enterica
A0A5T8LWY2,Recombinase,235,Salmonella enterica
A0A5V1RKK7,Recombinase,235,Salmonella enterica
A0A5V9YFT9,Recombinase,235,Salmonella hadar
A0A5Y8LMW9,Recombinase,235,Salmonella enterica
A0A609W9N9,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A663DI91,Recombinase,235,Salmonella typhimurium
A0A701Q4B3,Recombinase,235,Salmonella enterica subsp. enterica serovar Bovismorbificans
A0A725KF73,Recombinase,235,Salmonella montevideo
C3WF40,ExoX-like_C domain-containing protein,211,Fusobacterium mortiferum ATCC 9817
F5RUQ1,Recombinase,241,Enterobacter hormaechei ATCC 49162
G5QFN8,Recombinase,235,Salmonella enterica subsp. enterica serovar Rubislaw str. A4-653
A0A067TAQ8,Rad52/22 double-strand break repair protein,194,Galerina marginata (strain CBS 339.88)
A0A167AGM6,Rad52/22 double-strand break repair protein,245,Paenibacillus crassostreae
A0A3V0JB41,Recombinase,235,Salmonella typhimurium
A0A3V4IFF7,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A3Y6Y1Z0,Recombinase,235,Salmonella infantis
A0A5F2H164,Recombinase,232,Mesorhizobium sp. M00.F.Ca.ET.220.01.1.1
A0A5R2NIZ3,Recombinase,232,Mesorhizobium sp. M2D.F.Ca.ET.145.01.1.1
A0A5T2U3K7,Recombinase,235,Salmonella enterica
A0A5U1N1S0,Recombinase,235,Salmonella enterica
A0A5U8ADS6,Recombinase,235,Salmonella enterica
A0A5V0FLG0,Recombinase,235,Salmonella newport
A0A5V7JXL7,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A5X5WTZ7,Recombinase,235,Salmonella enterica subsp. enterica serovar Corvallis
A0A607FS17,Recombinase,235,Salmonella newport
A0A6Y1VDX8,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A720DVI1,Recombinase,235,Salmonella enterica subsp. enterica serovar Typhi str. 404ty
A0A735IRM5,Recombinase,235,Salmonella typhisuis
A0A736KEU3,Recombinase,235,Salmonella enterica subsp. enterica serovar Rough O:-:-
A0A0C9T0D3,Rad52/22 double-strand break repair protein,187,Paxillus involutus ATCC 200175
A0A197JP77,DNA repair and recombination protein RAD59,188,Linnemannia elongata AG-77
A0A1S0ZI93,Recombinase,235,Salmonella enterica subsp. enterica serovar Saintpaul
A0A4S4BCR2,Single-stranded DNA-binding protein,199,Deinococcus sp. Arct2-2
A0A564XQT4,Recombinase,235,Salmonella typhimurium
A0A5T4L701,Recombinase,235,Salmonella enterica
A0A5U7TS79,Recombinase,235,Salmonella enterica
A0A5W5UYV2,Recombinase,235,Salmonella enterica subsp. enterica serovar Cubana
A0A5X8I6H5,Recombinase,235,Salmonella typhimurium
A0A615AW09,Recombinase,235,Salmonella newport
A0A744F7C3,Recombinase,235,Salmonella enterica
A0A760WS83,Recombinase,235,Salmonella enterica
A0A7C4YLY9,Rad52/22 double-strand break repair protein,248,Gemmataceae bacterium
I7API1,RAD52,204,Encephalitozoon romaleae (strain SJ-2008)
R0M119,DNA repair and recombination protein RAD52,205,Nosema bombycis (strain CQ1 / CVCC 102059)
A0A0F0ZSZ2,Recombinase,241,Enterobacter sichuanensis
A0A0H1RP63,Prophage protein,251,Lactococcus lactis subsp. lactis
A0A1V0PHA1,Recombinase,252,Lactococcus lactis subsp. cremoris
A0A3V3P357,Recombinase,235,Salmonella enterica I
A0A5I3KVX9,Recombinase,235,Salmonella paratyphi A
A0A5W5S958,Recombinase,235,Salmonella enterica subsp. enterica serovar Cubana
A0A5Y0LVX0,Recombinase,235,Salmonella typhimurium
A0A600ML66,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A7W8JUE8,Single-stranded DNA-binding protein,200,Deinococcus humi
A0A0A1U8F2,DNA repair and recombination protein RAD52,188,Entamoeba invadens IP1
A0A0D6HCP7,Recombinase,235,Salmonella typhimurium
A0A1I4C6M9,Recombinase,245,Paenibacillus sp. 1_12
A0A2A6D7Q6,Recombinase,235,Salmonella enterica
A0A3V5ZRE8,Recombinase,235,Salmonella enterica subsp. enterica serovar Tennessee
A0A4R5GCI2,Single-stranded DNA-binding protein,201,Deinococcus sp. S9
A0A4U7NMG1,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A5I4QNS8,Recombinase,235,Salmonella oranienberg
A0A5U1PMS9,Recombinase,235,Salmonella enterica
A0A602YDC5,Recombinase,235,Salmonella muenchen
A0A6C7I7H1,Recombinase,235,Salmonella typhimurium (strain D23580)
A0A746TVJ0,Recombinase,235,Salmonella enterica
A0A0Q8KE67,Recombinase,229,Mesorhizobium sp. Root172
A0A3T0BM90,Recombinase,235,Salmonella enterica subsp. enterica serovar Moero
A0A3V3U3Q5,Recombinase,235,Salmonella enterica subsp. enterica serovar Havana
A0A4P9ZJ41,DsRNA-binding domain-like protein,153,Metschnikowia bicuspidata
A0A4W2IA91,RAD52 motif-containing protein 1,139,Bos indicus x Bos taurus
A0A5Y8M1T4,Recombinase,235,Salmonella enterica
A0A607Y3B3,Recombinase,235,Salmonella enterica subsp. enterica serovar Albany
A0A625H1H0,Recombinase,235,Salmonella enterica
A0A6G6PLM9,Recombinase,236,Providencia sp. 1701011
A0A6G7H5S4,Single-stranded DNA-binding protein,208,Deinococcus wulumuqiensis R12
A0A6W0BLL1,Recombinase,235,Salmonella enterica
A0A735NMS6,Recombinase,235,Salmonella paratyphi A (strain ATCC 9150 / SARB42)
A0A739U5G7,Recombinase,235,Salmonella infantis
A0A744ULZ2,Recombinase,235,Salmonella enterica
A0A748T4V2,Recombinase,235,Salmonella enterica
H8GY45,Single-stranded DNA-binding protein,198,Deinococcus gobiensis (strain DSM 21396 / JCM 16679 / CGMCC 1.7299 / I-0)
A0A084A8X7,Recombinase,252,Lactococcus lactis subsp. cremoris GE214
A0A4Q4A565,Recombinase,241,Enterobacter cloacae
A0A5J1N7I0,Recombinase,235,Salmonella paratyphi A
A0A5T8APK2,Recombinase,235,Salmonella enterica
A0A5W2DPS8,Recombinase,235,Salmonella montevideo
A0A5Z9WG56,Recombinase,235,Salmonella enterica subsp. enterica serovar Saintpaul
A0A604VC23,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A711TZ96,Recombinase,235,Salmonella enterica I
A0A751MPM2,Recombinase,235,Salmonella typhi
A0A016QR72,Single-stranded DNA-binding protein,202,Deinococcus phoenicis
A0A0A7KKF2,Single-stranded DNA-binding protein,202,Deinococcus radiopugnans
A0A379VPI6,Recombinase,235,Salmonella enterica I
A0A5C5HGQ9,Recombinase,235,Salmonella enterica subsp. enterica serovar Give
A0A5Y8HLL6,Recombinase,235,Salmonella enterica
A0A719J9S0,Recombinase,235,Salmonella typhimurium (strain SL1344)
A0A2T3WB43,Single-stranded DNA-binding protein,200,Deinococcus arcticus
A0A5C3KL20,Rad52/22 double-strand break repair protein,190,Coprinopsis marcescibilis
A0A5U0BVU4,Recombinase,235,Salmonella enterica subsp. enterica serovar Schwarzengrund
A0A6D2XWB7,RAD52 motif-containing protein 1,139,Pan troglodytes
A0A1X2H3R9,Rad52/22 double-strand break repair protein,180,Syncephalastrum racemosum
A0A379XUL3,Recombinase,235,Salmonella enterica subsp. indica
A0A4P9WT04,Rad52/22 double-strand break repair protein,193,Blyttiomyces helicus
A0A5I1RMY7,Recombinase,235,Salmonella virchow
A0A5T7MRX7,Recombinase,235,Salmonella infantis
A0A739NXB5,Recombinase,235,Salmonella newport
A0A0V8ET09,Recombinase,252,Lactococcus lactis subsp. lactis
A0A165DB19,Rad52/22 double-strand break repair protein,194,Laetiporus sulphureus 93-53
A0A1G3UNS4,DNA repair protein Rad52,220,Sulfurimonas sp. RIFOXYD2_FULL_37_8
A0A2G7H595,Single-stranded DNA-binding protein,263,Deinococcus sp. UR1
A0A2Z5Z5N7,Recombinase,252,Lactococcus lactis subsp. cremoris
A0A3D4X2T0,Rad52/22 double-strand break repair protein,277,Micromonosporaceae bacterium
A0A485LZM8,Recombinase,250,anaerobic digester metagenome
A0A706R6C7,Recombinase,235,Salmonella typhimurium
A0A735LBH8,Recombinase,235,Salmonella enterica subsp. enterica serovar Corvallis
A0A741N8X2,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
J9D748,DNA repair protein RAD59,204,Edhazardia aedis (strain USNM 41457)
A0A173RK79,DNA repair protein Rad52,248,Anaerobutyricum hallii
A0A1C6ELP2,DNA damage response protein A,260,uncultured Butyricicoccus sp.
A0A3A4Z8N0,DNA repair protein,158,Candidatus Microgenomates bacterium
A0A3V4UTH8,Recombinase,235,Salmonella enterica I
A0A401VUV7,RecT protein,274,Streptomyces paromomycinus
A0A6H0K8B7,Recombinase,241,Yokenella regensburgei
A0A724LBY2,Recombinase,235,Salmonella enteritidis PT4 (strain P125109)
F7DL24,RAD52 motif-containing protein 1,223,Monodelphis domestica
G0VSE1,Recombinase,249,Megasphaera elsdenii DSM 20460
G2SIF3,Rad52/22 double-strand break repair protein,170,Rhodothermus marinus (strain SG0.5JP17-172)
A0A2I2YFX3,RAD52 motif-containing protein 1,139,Gorilla gorilla gorilla
A0A345CE97,Recombinase,241,Leclercia sp. W17
A0A552X8S9,Recombinase,252,Lactococcus lactis
A0A5V8KJ80,Recombinase,235,Salmonella enterica subsp. enterica serovar Rissen
A0A6L5EJB0,Recombinase,241,Citrobacter telavivensis
A0A746M6N9,Recombinase,235,Salmonella typhi
R5Y1F6,Single-stranded DNA-binding protein,260,Ruminococcus sp. CAG:488
A0A0V8BFE3,Recombinase,252,Lactococcus lactis subsp. lactis
A0A101P0N9,Single-stranded DNA-binding protein,269,Streptomyces yokosukanensis
A0A1E4SHR5,DsRNA-binding domain-like protein,196,Suhomyces tanzawaensis NRRL Y-17324
A0A1V0NDV4,Recombinase,252,Lactococcus lactis subsp. lactis
A0A3L7NUE3,Rad52/22 double-strand break repair protein,173,Planctomycetes bacterium
A0A5C5BLY1,Recombinase,252,Lactococcus lactis subsp. lactis
A0A7C2B821,Rad52/22 double-strand break repair protein,246,Candidatus Fraserbacteria bacterium
E8MXR8,Phage protein,257,Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1)
Q9CFP3,Recombinase,252,Lactococcus lactis subsp. lactis (strain IL1403)
R6G9K2,DNA repair protein Rad52,248,Eubacterium hallii CAG:12
A0A1V0P3K6,Recombinase,252,Lactococcus lactis subsp. lactis
A0A3T5HRT4,Recombinase,235,Salmonella enterica I
A0A552XHK3,Recombinase,252,Lactococcus lactis
A0A139AJT7,Recombination protein Rad52,199,Gonapodya prolifera (strain JEL478)
A0A1C6ILX7,DNA repair protein Rad52,248,uncultured Eubacterium sp.
A0A1V5H3D7,Recombinase,250,Deltaproteobacteria bacterium ADurb.BinA179
A0A2K6KM01,RAD52 motif-containing protein 1,139,Rhinopithecus bieti
A0A2T9UR42,Recombinase,241,Enterobacter sp. HN503E2II
A0A2X0R102,Recombinase,252,Lactococcus lactis
A0A552YZM8,Recombinase,252,Lactococcus lactis
A0A5P3IBA4,Recombinase,252,Lactococcus lactis subsp. lactis bv. diacetylactis
A0A5U1ID16,Recombinase,235,Salmonella enterica
A0A6N2W714,Recombinase,235,Citrobacter amalonaticus
A5DLM1,DNA repair protein RAD59,169,Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)
Q02WR9,Recombinase,252,Lactococcus lactis subsp. cremoris (strain SK11)
A0A3P8V682,"RAD52 homolog, DNA repair protein",86,Cynoglossus semilaevis
A0A5S9IIN3,Rad52/22 double-strand break repair protein,170,Rhodothermus marinus
A0A6N3KIM4,Recombinase,252,Lactococcus lactis subsp. cremoris
A0A727B8H9,Recombinase,235,Salmonella enterica
D3G0Z9,DUF1071 domain-containing protein,184,Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4)
G6FG79,Recombinase,252,Lactococcus lactis subsp. lactis CNCM I-1631
A0A345IJQ4,Single-stranded DNA-binding protein,208,Deinococcus wulumuqiensis
A0A4S0XXD1,Recombinase,232,bacterium M00.F.Ca.ET.163.01.1.1
A0A552Z2H3,Recombinase,252,Lactococcus lactis
A0A667I5G8,RAD52 motif-containing protein 1,139,Lynx canadensis
D0MFE7,Rad52/22 double-strand break repair protein,170,Rhodothermus marinus (strain ATCC 43812 / DSM 4252 / R-10)
A0A0B2UDA7,RAD52,204,Ordospora colligata OC4
A0A1J5X9V4,DNA repair and recombination protein RAD59,189,Amphiamblys sp. WSBS2006
A0A1V0NIE1,Recombinase,252,Lactococcus lactis subsp. lactis
A0A417BYJ0,DNA damage response protein A,253,Butyricicoccus sp. AM42-5AC
A0A4R9QSL0,Recombinase,232,Mesorhizobium sp. M2D.F.Ca.ET.232.01.1.1
A0A6I1F4Y6,Rad52/22 double-strand break repair protein,327,Bacillus sp. B1-b2
A0A7C2JGT9,Single-stranded DNA-binding protein,203,Blastocatellia bacterium
A0A7H9HUT5,DNA repair protein RAD59,197,Torulaspora sp. CBS 2947
L7FL61,DNA repair and recombination protein RAD52,189,Entamoeba invadens IP1
S6FFS9,Recombinase,251,Lactococcus lactis subsp. lactis A12
A0A0F7JNA6,Single-stranded DNA-binding protein,205,Deinococcus soli (ex Cha et al. 2016)
A0A1G4IN46,DNA repair protein RAD59,201,Lachancea mirantina
A0A418QC27,Single-stranded DNA-binding protein,210,Deinococcus sp. RM
R0MG38,DNA repair and recombination protein RAD52,194,Nosema bombycis (strain CQ1 / CVCC 102059)
A0A1U7TPU0,"RAD52 homolog, DNA repair protein",203,Carlito syrichta
A0A3Q3WPS8,RAD52,114,Mola mola
A0A7W8GEP8,Single-stranded DNA-binding protein,214,Deinococcus budaensis
K5WG72,Recombination protein Rad52,202,Phanerochaete carnosa (strain HHB-10118-sp)
A0A5C7Q1U8,Single-stranded DNA-binding protein,256,Desulfurellales bacterium
A0A6N3KCT6,Recombinase,252,Lactococcus lactis subsp. cremoris
A0A1T1BFH9,Single-stranded DNA-binding protein,210,Deinococcus sp. LM3
A0A2A9IL33,Recombinase,252,Lactococcus lactis
A0A6B2FWT9,Recombinase,240,Enterobacteriaceae bacterium 4M9
A0A6B3SLV1,Recombinase,252,Lactococcus lactis
A0A2W7AV54,DUF4316 domain-containing protein,176,Leptolyngbya sp.
A0A523Y6P2,Recombinase,243,Sulfurovum sp.
A0A1Z9MNK5,Rad52/22 double-strand break repair protein,200,Candidatus Pelagibacter sp. TMED202
A0A2A7H829,Prophage protein,284,Bacillus sp. AFS098217
A0A7S4C0K0,RRM domain-containing protein,241,Chrysotila carterae
A0A0R2U4M2,Rad52/22 double-strand break repair protein,249,cyanobacterium BACL30 MAG-120619-bin27
A0A151CDH5,DNA repair protein Rad52,227,Sulfurovum riftiae
A0A665TWA8,RAD52 protein,251,Echeneis naucrates
A0A6I5A594,Rad52/22 double-strand break repair protein,277,Pontibacillus yanchengensis
A0A1F5UNM9,DNA repair protein Rad52,250,Fraserbacteria sp. (strain RBG_16_55_9)
A0A2J8LJJ4,RAD52 motif-containing protein 1,139,Pan troglodytes
A0A4W2CBM8,RAD52 motif-containing protein 1,237,Bos indicus x Bos taurus
A0A837STY8,Recombinase,252,Lactococcus lactis subsp. lactis
A0A845YGH7,Phage protein,171,Symploca sp. SIO2G7
C0EZ21,DNA repair protein Rad52,248,Anaerobutyricum hallii DSM 3353
I0X6F1,Rad52/22 family double-strand break repair protein,271,Treponema sp. JC4
A0A1U8BYL4,RAD52 motif-containing protein 1,134,Mesocricetus auratus
A0A4W2CF14,RAD52 motif-containing protein 1,139,Bos indicus x Bos taurus
A0A7W8LQ41,Single-stranded DNA-binding protein,303,Deinococcus budaensis
T0VRD8,Recombinase,252,Lactococcus lactis subsp. cremoris TIFN1
A0A5P2R262,DNA recombination protein,252,Dermabacter vaginalis
A0A7J7ZMI9,RAD52,100,Pipistrellus kuhlii
A0A165QU93,Rad52/22 double-strand break repair protein,199,Daedalea quercina L-15889
A0A1S2LAL6,Rad52/22 double-strand break repair protein,263,Anaerobacillus arseniciselenatis
A0A2W6ZSH4,Rad52/22 double-strand break repair protein,261,Cyanobium sp.
A0A661R2G4,DNA repair protein Rad52,213,Deltaproteobacteria bacterium
A0A7Y4TMM6,DNA repair protein RAD59,230,Acidobacteria bacterium
A8ZS73,DNA repair protein Rad52,207,Desulfococcus oleovorans (strain DSM 6200 / JCM 39069 / Hxd3)
A0A1Y9THJ7,Recombinase,237,Alkalihalobacillus krulwichiae
A0A7W3WRP3,DNA repair protein,262,Streptomyces alkaliterrae
A0A7X2DX06,Prophage protein,282,Bacillus thuringiensis
A0A831TKX7,Rad52/22 double-strand break repair protein,235,Armatimonadetes bacterium
R8CDN2,Prophage protein,282,Bacillus cereus HuA3-9
A0A0A1UEF6,DNA repair and recombination protein RAD52,188,Entamoeba invadens IP1
Q757G7,DNA repair protein RAD59,204,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)
A0A0D7AAP8,Rad52/22 double-strand break repair protein,192,Fistulina hepatica ATCC 64428
A0A1X2GN50,DNA repair protein Rad52,170,Hesseltinella vesiculosa
A0A1Y2HQ32,Rad52/22 double-strand break repair protein,228,Catenaria anguillulae PL171
A0A5M8SZW2,Rad52/22 double-strand break repair protein,301,Acidobacteria bacterium AB60
A0A753KEX6,Recombinase,203,Salmonella enterica
A0A0F9Z9Y0,WGR domain-containing protein,133,Nosema ceranae
A0A417YQC1,Rad52/22 double-strand break repair protein,343,Neobacillus notoginsengisoli
A0A2G1CTC6,DNA repair protein Rad52,235,Malaciobacter canalis
A0A2G7H3Y7,Single-stranded DNA-binding protein,210,Deinococcus sp. UR1
A0A2I3RT14,RAD52,99,Pan troglodytes
A0A2N0YR14,Prophage protein,282,Bacillus cereus
A0A496U8C9,DNA repair protein Rad52,212,Candidatus Fermentibacteria bacterium
A0A4W2IA95,RAD52 motif-containing protein 1,237,Bos indicus x Bos taurus
A0A7G8EGD8,DNA repair protein Rad52,252,Synechococcus sp. BMK-MC-1
L7FN21,Rad52/22 double-strand break repair protein,188,Entamoeba invadens IP1
A0A2K5EA20,RAD52 motif-containing protein 1,139,Aotus nancymaae
A0A2K5S5S1,RRM domain-containing protein,235,Cebus imitator
A0A670Z2Z6,RAD52,111,Pseudonaja textilis
C5DRX8,DNA repair protein RAD59,194,Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)
A0A0V8E376,Recombinase,262,Lactococcus lactis subsp. lactis
A0A1F6SE33,Single-stranded DNA-binding protein,215,Candidatus Melainabacteria bacterium RIFOXYA12_FULL_32_12
A0A2J8LJJ8,RAD52 motif-containing protein 1,236,Pan troglodytes
A0A243C3G8,Prophage protein,282,Bacillus thuringiensis serovar yosoo
A0A2N2LMS3,Rad52/22 double-strand break repair protein,224,Chloroflexi bacterium HGW-Chloroflexi-9
A0A323U1M1,Rad52/22 double-strand break repair protein,218,Meiothermus sp. Pnk-1
A0A337SGZ7,RAD52 motif-containing protein 1,139,Felis catus
A0A2R8ZDA4,RAD52,99,Pan paniscus
A0A6I1S0Y9,Recombinase,302,Prevotella copri
A0A702LL28,Recombinase,203,Salmonella enterica subsp. salamae
J8XXR5,Prophage protein,282,Bacillus cereus HuA2-1
R9BX56,Rad52/22 double-strand break repair protein,327,Niallia nealsonii AAU1
A0A100HKH2,Single-stranded DNA-binding protein,210,Deinococcus grandis
A0A2K6DC75,RAD52 motif-containing protein 1,139,Macaca nemestrina
A0A670JIG9,RAD52 protein,240,Podarcis muralis
B0EC43,Rad52/22 double-strand break repair protein,198,Entamoeba dispar (strain ATCC PRA-260 / SAW760)
K0KS46,DNA repair protein,183,Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)
W5N6H6,RRM domain-containing protein,196,Lepisosteus oculatus
A0A1F8NT53,Recombinase,181,Chloroflexi bacterium RBG_13_66_10
A0A1F9LZ38,DNA repair protein Rad52,209,Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12
A0A1V0DGF1,Rad52/22 double-strand break repair protein,179,Rhodothermaceae bacterium RA
A0A2G2H7V5,DNA repair protein Rad52,234,Arcobacter sp.
A0A7G8FMJ6,Rad52/22 double-strand break repair protein,255,Synechococcus sp. RS9907
A0A7J8JM62,RAD52,128,Rousettus aegyptiacus
F5H1K5,RAD52,99,Homo sapiens
A0A0G2HBM9,RAD52 DNA repair protein RADC,224,Diaporthe ampelina
